path,name,usagov
/US FEDERAL GOVERNMENT/[usagov] U.S. Department of Housing and Urban Development,[usagov] U.S. Department of Housing and Urban Development,"{'name': 'U.S. Department of Housing and Urban Development', 'description': 'The Department of Housing and Urban Development administers programs that provide housing and community development assistance. The Department also works to ensure fair and equal housing opportunity for all.', 'website': [{'link': 'https://www.hud.gov/', 'title': 'Department of Housing and Urban Development (HUD)'}], 'contact': [{'link': 'https://www.hud.gov/program_offices/public_indian_housing/pha/contacts', 'title': 'Contact the Department of Housing and Urban Development'}, {'link': 'https://www.hud.gov/program_offices/fair_housing_equal_opp/online-complaint', 'title': 'Report Housing Discrimination'}, {'link': 'https://peoplesearch.hud.gov/po/i/netlocator/', 'title': 'Employee Directory'}], 'phone_number': ['1-202-708-1112'], 'tty': ['1-202-708-1455'], 'find_an_office_near_you': [{'link': 'https://www.hud.gov/states', 'title': 'HUD Resources in Your State'}, {'link': 'https://www.hud.gov/program_offices/public_indian_housing/pha/contacts', 'title': 'Find the Public Housing Agency Near You'}, {'link': 'https://hudgov-answers.force.com/housingcounseling/s/', 'title': 'Find a Housing Counselor Near You'}, {'link': 'https://www.hud.gov/program_offices/field_policy_mgt/localoffices', 'title': 'Housing and Urban Development Local Offices'}], 'main_address': ['451 7th St., SW', 'Washington,', 'DC', '20410']}"
/US FEDERAL GOVERNMENT/[usagov] House Office of the Clerk,[usagov] House Office of the Clerk,"{'name': 'House Office of the Clerk', 'description': 'The Office of the Clerk performs administrative functions for the U.S. House of Representatives, including creating and retaining the House Journal, calling new members to order, tracking questions of order, and managing the offices and staff of deceased or retired representatives.', 'website': [{'link': 'https://clerk.house.gov/', 'title': 'House Office of the Clerk'}], 'phone_number': ['1-202-225-7000'], 'email': [{'link': 'mailto:info.clerkweb@mail.house.gov', 'title': ''}, {'link': 'mailto:info.clerkweb@mail.house.gov', 'title': ''}], 'main_address': ['U.S. Capitol', 'Room H154', 'Washington,', 'DC', '20515-6601']}"
/US FEDERAL GOVERNMENT/[usagov] House Office of Inspector General,[usagov] House Office of Inspector General,"{'name': 'House Office of Inspector General', 'description': 'The Office of Inspector General conducts audits of the financial and administrative operations of the House of Representatives.', 'website': [{'link': 'https://www.house.gov/the-house-explained/officers-and-organizations/inspector-general', 'title': 'House Office of Inspector General'}], 'contact': [{'link': 'https://www.uscp.gov/the-department/office-inspector-general', 'title': ''}, {'link': 'https://www.uscp.gov/the-department/office-inspector-general', 'title': 'Contact the House Office of Inspector General'}], 'phone_number': ['1-202-226-1250'], 'email': [{'link': 'mailto:HouseIG@mail.house.gov', 'title': ''}, {'link': 'mailto:HouseIG@mail.house.gov', 'title': ''}], 'main_address': ['386 Ford Building', 'Washington,', 'DC', '20515-9990']}"
/US FEDERAL GOVERNMENT/[usagov] U.S. House of Representatives,[usagov] U.S. House of Representatives,"{'name': 'U.S. House of Representatives', 'description': 'The U.S. House of Representatives and the U.S. Senate make up the two chambers of Congress. The House has 435 members, the number representing each state is determined by population.', 'website': [{'link': 'http://www.house.gov/', 'title': 'U.S. House of Representatives'}, {'link': 'http://www.house.gov/committees/', 'title': 'House Committees'}, {'link': 'http://www.house.gov/leadership/', 'title': 'House Leadership'}, {'link': 'https://www.house.gov/the-house-explained/officers-and-organizations', 'title': 'Officers and Organizations of the House'}], 'contact': [{'link': 'https://www.house.gov/representatives', 'title': 'Contact the U.S. House of Representatives'}, {'link': 'https://www.house.gov/representatives/find-your-representative', 'title': 'Contact Your Representative'}], 'phone_number': ['1-202-224-3121'], 'tty': ['1-202-225-1904'], 'find_an_office_near_you': [{'link': 'http://www.visitthecapitol.gov', 'title': ''}, {'link': 'http://www.visitthecapitol.gov', 'title': 'Capitol Visitor Center'}], 'main_address': ['U.S. House of Representatives', 'Washington,', 'DC', '20515']}"
/US FEDERAL GOVERNMENT/[usagov] Wage and Hour Division,[usagov] Wage and Hour Division,"{'name': 'Wage and Hour Division', 'description': ""The Division of Hours and Wages is responsible for enforcing the country's labor laws, including those related to the minimum wage and employment of minors."", 'website': [{'link': 'https://www.dol.gov/agencies/whd', 'title': 'Wage and Hour Division'}], 'toll-free_number': ['1-866-487-9243'], 'tty': ['1-877-889-5627'], 'main_address': ['200 Constitution Ave., NW', 'Washington,', 'DC', '20210']}"
/US FEDERAL GOVERNMENT/[usagov] U.S. Department of Homeland Security,[usagov] U.S. Department of Homeland Security,"{'name': 'U.S. Department of Homeland Security', 'description': ""The Department of Homeland Security works to improve the security of the United States. The Department's work includes customs, border, and immigration enforcement, emergency response to natural and manmade disasters, antiterrorism work, and cybersecurity."", 'website': [{'link': 'https://www.dhs.gov/', 'title': 'Department of Homeland Security (DHS)'}], 'contact': [{'link': 'https://www.dhs.gov/contact-us', 'title': ''}, {'link': 'https://www.dhs.gov/contact-us', 'title': 'Contact the Department of Homeland Security'}], 'phone_number': ['1-202-282-8000'], 'main_address': ['245 Murray Lane, SW', 'Washington,', 'DC', '20528-0075']}"
/US FEDERAL GOVERNMENT/[usagov] Holocaust Memorial Museum,[usagov] Holocaust Memorial Museum,"{'name': 'Holocaust Memorial Museum', 'description': 'A living memorial to the victims of the Holocaust, the Memorial Museum was built on donated federal land and is funded through private donations.', 'website': [{'link': 'https://www.ushmm.org/', 'title': 'Holocaust Memorial Museum'}], 'contact': [{'link': 'https://www.ushmm.org/information/connect-with-the-museum', 'title': ''}, {'link': 'https://www.ushmm.org/information/connect-with-the-museum', 'title': 'Contact the Holocaust Memorial Museum'}], 'phone_number': ['1-202-488-0400'], 'tty': ['1-202-488-0406'], 'main_address': ['100 Raoul Wallenberg Place, SW', 'Washington,', 'DC', '20024-2126']}"
/US FEDERAL GOVERNMENT/[usagov] Commission on Security and Cooperation in Europe (Helsinki Commission),[usagov] Commission on Security and Cooperation in Europe (Helsinki Commission),"{'name': 'Commission on Security and Cooperation in Europe (Helsinki Commission)', 'description': 'The Commission on Security and Cooperation in Europe monitors and encourages compliance with the Helsinki Final Act and other Organization for Security and Co-operation in Europe commitments.', 'website': [{'link': 'https://www.csce.gov', 'title': 'Commission on Security and Cooperation in Europe (Helsinki Commission)'}], 'contact': [{'link': 'https://www.csce.gov/', 'title': ''}, {'link': 'https://www.csce.gov/', 'title': 'Contact the Commission on Security and Cooperation in Europe (Helsinki Commission)'}], 'phone_number': ['1-202-225-1901'], 'email': [{'link': 'mailto:INFO@CSCE.gov', 'title': ''}, {'link': 'mailto:INFO@CSCE.gov', 'title': ''}], 'main_address': ['234 Ford House Office Building', '3rd and D Sts., SW', 'Washington,', 'DC', '20515']}"
/US FEDERAL GOVERNMENT/[usagov] Health Resources and Services Administration,[usagov] Health Resources and Services Administration,"{'name': 'Health Resources and Services Administration', 'description': 'The Health Resources and Services Administration improves access to health care for people who are uninsured, isolated, or medically vulnerable.', 'website': [{'link': 'https://www.hrsa.gov/', 'title': 'Health Resources and Services Administration'}], 'contact': [{'link': 'https://www.hrsa.gov/about/contact/', 'title': ''}, {'link': 'https://www.hrsa.gov/about/contact/', 'title': 'Contact the Health Resources and Services Administration'}], 'toll-free_number': ['1-888-ASK-HRSA (1-888-275-4772)'], 'tty': ['1-877-4TY-HRSA (1-877-489-4772)'], 'find_an_office_near_you': [{'link': 'https://findahealthcenter.hrsa.gov', 'title': ''}, {'link': 'https://findahealthcenter.hrsa.gov', 'title': 'Find a Health Care Center Near You'}], 'main_address': ['5600 Fishers Lane', 'Rockville,', 'MD', '20857']}"
/US FEDERAL GOVERNMENT/[usagov] U.S. Department of Health and Human Services,[usagov] U.S. Department of Health and Human Services,"{'name': 'U.S. Department of Health and Human Services', 'description': 'The Department of Health and Human Services protects the health of all Americans and provides essential human services.', 'website': [{'link': 'https://www.hhs.gov/', 'title': 'U.S. Department of Health and Human Services (HHS)'}], 'contact': [{'link': 'https://www.hhs.gov/about/contact-us/index.html', 'title': ''}, {'link': 'https://www.hhs.gov/about/contact-us/index.html', 'title': 'Contact the U.S. Department of Health and Human Services'}], 'toll-free_number': ['1-877-696-6775'], 'main_address': ['200 Independence Ave., SW', 'Washington,', 'DC', '20201']}"
/US FEDERAL GOVERNMENT/[usagov] Harry S. Truman Scholarship Foundation,[usagov] Harry S. Truman Scholarship Foundation,"{'name': 'Harry S. Truman Scholarship Foundation', 'description': 'The Harry S. Truman Scholarship Foundation provides scholarships to college juniors who demonstrate outstanding potential, and who plan to pursue a career in public service.', 'website': [{'link': 'http://www.truman.gov/', 'title': 'Harry S. Truman Scholarship Foundation'}], 'contact': [{'link': 'https://www.truman.gov/about-us/contact-us', 'title': ''}, {'link': 'https://www.truman.gov/about-us/contact-us', 'title': 'Contact the Harry S. Truman Scholarship Foundation'}], 'phone_number': ['1202-395-4831'], 'email': [{'link': 'mailto:office@truman.gov', 'title': ''}, {'link': 'mailto:office@truman.gov', 'title': ''}], 'main_address': ['712 Jackson Place, NW', 'Washington,', 'DC', '20006']}"
/US FEDERAL GOVERNMENT/[usagov] International Trade Administration,[usagov] International Trade Administration,"{'name': 'International Trade Administration', 'description': 'The International Trade Administration promotes U.S. exports by providing diplomatic support, helping to shape trade policy, removing trade barriers, and enforcing U.S. trade laws and agreements.', 'website': [{'link': 'https://www.trade.gov/contact-us', 'title': 'International Trade Administration (ITA)'}], 'contact': [{'link': 'https://www.trade.gov/contact-us', 'title': ''}, {'link': 'https://www.trade.gov/contact-us', 'title': 'Contact the International Trade Administration'}], 'toll-free_number': ['1-800-USA-TRADE (1-800-872-8723)'], 'find_an_office_near_you': [{'link': 'https://www.export.gov/locations', 'title': ''}, {'link': 'https://www.export.gov/locations', 'title': 'Find an Export Assistance Center Near You'}], 'main_address': ['1401 Constitution Ave., NW', 'Washington,', 'DC', '20230']}"
/US FEDERAL GOVERNMENT/[usagov] U.S. International Development Finance Corporation,[usagov] U.S. International Development Finance Corporation,"{'name': 'U.S. International Development Finance Corporation', 'description': 'The U.S. International Development Finance Corporation (DFC) is America’s development bank. DFC partners with the private sector to finance solutions to the most critical challenges facing the developing world.', 'website': [{'link': 'https://www.dfc.gov', 'title': 'U.S. International Development Finance Corporation (DFC)'}], 'contact': [{'link': 'https://www.dfc.gov/who-we-are/contact', 'title': ''}, {'link': 'https://www.dfc.gov/who-we-are/contact', 'title': 'Contact the International Development Finance Corporation (DFC)'}], 'phone_number': ['1-202-336-8400'], 'email': [{'link': 'mailto:info@dfc.gov', 'title': ''}, {'link': 'mailto:info@dfc.gov', 'title': ''}], 'main_address': ['1100 New York Ave., NW', 'Washington,', 'DC', '20527']}"
/US FEDERAL GOVERNMENT/[usagov] Internal Revenue Service,[usagov] Internal Revenue Service,"{'name': 'Internal Revenue Service', 'description': 'The Internal Revenue Service (IRS) administers and enforces U.S. federal tax laws.', 'website': [{'link': 'https://www.irs.gov', 'title': 'Internal Revenue Service (IRS)'}], 'contact': [{'link': 'https://www.irs.gov/coronavirus', 'title': 'Stimulus check information'}, {'link': 'https://www.irs.gov/help/telephone-assistance', 'title': 'Contact the Internal Revenue Service'}, {'link': 'https://www.irs.gov/tax-reform', 'title': 'Tax Reform Information and Services'}, {'link': 'https://www.irs.gov/help/telephone-assistance', 'title': 'Help With Tax Questions'}, {'link': 'https://www.irs.gov/taxpayer-advocate', 'title': 'Taxpayer Advocate Service'}, {'link': 'https://www.irs.gov/individuals/how-do-you-report-suspected-tax-fraud-activity', 'title': 'Report Tax Fraud'}, {'link': 'https://www.irs.gov/help/telephone-assistance', 'title': 'IRS Hotlines'}, {'link': 'https://www.irs.gov/help/contact-my-local-office-internationally', 'title': 'International IRS Offices'}, {'link': 'https://www.irs.gov/filing/where-to-file-paper-tax-returns-with-or-without-a-payment', 'title': 'Where to File Paper Tax Returns'}], 'phone_number': ['1-202-622-5000'], 'toll-free_number': ['1-800-829-1040'], 'tty': ['1-800-829-4059'], 'find_an_office_near_you': [{'link': 'https://www.irs.gov/help/contact-your-local-irs-office', 'title': ''}, {'link': 'https://www.irs.gov/help/contact-your-local-irs-office', 'title': 'Find a Taxpayer Assistance Center Near You'}], 'main_address': ['1111 Constitution Ave., NW', 'Washington,', 'DC', '20224']}"
/US FEDERAL GOVERNMENT/[usagov] U.S. Department of the Interior,[usagov] U.S. Department of the Interior,"{'name': 'U.S. Department of the Interior', 'description': 'The Department of the Interior manages public lands and minerals, national parks, and wildlife refuges and upholds Federal trust responsibilities to Indian tribes and Native Alaskans. Additionally, Interior is responsible for endangered species conservation and other environmental conservation efforts.', 'website': [{'link': 'https://www.doi.gov/', 'title': 'Department of the Interior (DOI)'}], 'contact': [{'link': 'https://www.doi.gov/contact-us', 'title': ''}, {'link': 'https://www.doi.gov/contact-us', 'title': 'Contact the Department of the Interior'}], 'phone_number': ['1-202-208-3100'], 'email': [{'link': 'mailto:feedback@ios.doi.gov', 'title': ''}, {'link': 'mailto:feedback@ios.doi.gov', 'title': ''}], 'main_address': ['1849 C St., NW', 'Washington,', 'DC', '20240']}"
/US FEDERAL GOVERNMENT/[usagov] Interagency Council on Homelessness,[usagov] Interagency Council on Homelessness,"{'name': 'Interagency Council on Homelessness', 'description': 'The Interagency Council on Homelessness works in partnership with every level of government and the private sector to reduce and end homelessness in the nation.', 'website': [{'link': 'https://www.usich.gov/', 'title': 'Interagency Council on Homelessness'}], 'contact': [{'link': 'https://www.usich.gov/about-usich/contact', 'title': 'Contact the Interagency Council on Homelessness'}, {'link': 'https://www.usich.gov/need-help', 'title': 'Find Help for Homeless People'}], 'phone_number': ['1-202-708-4663'], 'email': [{'link': 'mailto:usich@usich.gov', 'title': ''}, {'link': 'mailto:usich@usich.gov', 'title': ''}], 'main_address': ['1275 First St., NE,', 'Suite 227', 'Washington,', 'DC', '20552']}"
/US FEDERAL GOVERNMENT/[usagov] Interagency Committee for the Management of Noxious and Exotic Weeds,[usagov] Interagency Committee for the Management of Noxious and Exotic Weeds,"{'name': 'Interagency Committee for the Management of Noxious and Exotic Weeds', 'description': 'With representatives from 16 federal agencies, this committee partners with the public and private organizations to identify and manage invasive plants in the U.S.', 'website': [{'link': 'https://www.invasivespeciesinfo.gov/ficmnew', 'title': 'Federal Interagency Committee for the Management of Noxious and Exotic Weeds'}]}"
/US FEDERAL GOVERNMENT/[usagov] Interagency Alternative Dispute Resolution Working Group,[usagov] Interagency Alternative Dispute Resolution Working Group,"{'name': 'Interagency Alternative Dispute Resolution Working Group', 'description': 'The Interagency Alternative Dispute Resolution Working Group helps federal agencies develop and implement Alternative Dispute Resolution programs.', 'website': [{'link': 'https://adr.gov/', 'title': 'Interagency Alternative Dispute Resolution Working Group'}], 'contact': [{'link': 'https://adr.gov/contact/', 'title': ''}, {'link': 'https://adr.gov/contact/', 'title': 'Federal Alternative Dispute Resolution Programs and Contacts'}], 'email': [{'link': 'mailto:ADRWeb@usdoj.gov', 'title': ''}, {'link': 'mailto:ADRWeb@usdoj.gov', 'title': ''}], 'main_address': ['950 Pennsylvania Ave., NW', 'Suite 4529', 'Washington,', 'DC', '20530-0001']}"
/US FEDERAL GOVERNMENT/[usagov] Inter-American Foundation,[usagov] Inter-American Foundation,"{'name': 'Inter-American Foundation', 'description': 'The Inter-American Foundation provides grant support to Latin American and Caribbean grass-roots groups and non-governmental organizations with creative self-help ideas.', 'website': [{'link': 'https://www.iaf.gov/', 'title': 'Inter-American Foundation'}], 'contact': [{'link': 'https://www.iaf.gov/contact/', 'title': ''}, {'link': 'https://www.iaf.gov/contact/', 'title': 'Contact the Inter-American Foundation'}], 'phone_number': ['1-202-360-4530'], 'email': [{'link': 'mailto:inquiries@iaf.gov', 'title': ''}, {'link': 'mailto:inquiries@iaf.gov', 'title': ''}], 'main_address': ['1331 Pennsylvania Ave., NW', 'Suite 1200', 'Washington,', 'DC', '20004']}"
/US FEDERAL GOVERNMENT/[usagov] Institute of Peace,[usagov] Institute of Peace,"{'name': 'Institute of Peace', 'description': 'The Institute of Peace promotes research, policy analysis, education, and training on international peace and conflict resolution in an effort to prevent and resolve violent conflicts, and to promote post-conflict stability.', 'website': [{'link': 'http://www.usip.org/', 'title': 'Institute of Peace'}], 'contact': [{'link': 'http://www.usip.org/contact', 'title': ''}, {'link': 'http://www.usip.org/contact', 'title': 'Contact the Institute of Peace'}], 'phone_number': ['1-202-457-1700'], 'main_address': ['2301 Constitution Ave., NW', 'Washington,', 'DC', '20037']}"
/US FEDERAL GOVERNMENT/[usagov] Cybersecurity and Infrastructure Security Agency,[usagov] Cybersecurity and Infrastructure Security Agency,"{'name': 'Cybersecurity and Infrastructure Security Agency', 'description': 'The Cybersecurity and Infrastructure Security Agency (CISA) defends critical infrastructure against threats.', 'website': [{'link': 'https://www.cisa.gov', 'title': 'Cybersecurity and Infrastructure Security Agency'}], 'toll-free_number': ['1-888-282-0870 (cybersecurity resources)'], 'email': [{'link': 'mailto:central@cisa.gov', 'title': ''}, {'link': 'mailto:central@cisa.gov', 'title': ''}], 'main_address': ['Cybersecurity and Infrastructure Security Agency, Stop 0380', 'Department of Homeland Security', '245 Murray Lane', 'Washington,', 'DC', '20528-0380']}"
/US FEDERAL GOVERNMENT/[usagov] Court Services and Offender Supervision Agency for the District of Columbia,[usagov] Court Services and Offender Supervision Agency for the District of Columbia,"{'name': 'Court Services and Offender Supervision Agency for the District of Columbia', 'description': 'The Court Services and Offender Supervision Agency provides supervision of adults on parole, probation, and supervised release in the District of Columbia.', 'website': [{'link': 'https://www.csosa.gov', 'title': 'Court Services and Offender Supervision Agency for the District of Columbia'}], 'contact': [{'link': 'https://www.csosa.gov/contact-us', 'title': ''}, {'link': 'https://www.csosa.gov/contact-us', 'title': 'Contact the Court Services and Offender Supervision Agency for the District of Columbia'}], 'phone_number': ['1-202-220-5300'], 'main_address': ['633 Indiana Ave., NW', 'Washington,', 'DC', '20004']}"
/US FEDERAL GOVERNMENT/[usagov] Court of International Trade,[usagov] Court of International Trade,"{'name': 'Court of International Trade', 'description': 'The United States Court of International Trade resolves trade disputes by interpreting and applying customs and international trade laws.', 'website': [{'link': 'http://www.cit.uscourts.gov/', 'title': 'Court of International Trade'}], 'contact': [{'link': 'http://www.cit.uscourts.gov/court-info/court-locations', 'title': ''}, {'link': 'http://www.cit.uscourts.gov/court-info/court-locations', 'title': 'Contact the Court of International Trade'}], 'phone_number': ['1-212-264-2800'], 'main_address': ['1 Federal Plaza', 'New York,', 'NY', '10278-0001']}"
/US FEDERAL GOVERNMENT/[usagov] Court of Federal Claims,[usagov] Court of Federal Claims,"{'name': 'Court of Federal Claims', 'description': 'The U.S. Court of Federal Claims has jurisdiction over claims seeking money judgments against the United States.', 'website': [{'link': 'http://www.uscfc.uscourts.gov/', 'title': 'Court of Federal Claims'}], 'contact': [{'link': 'http://www.uscfc.uscourts.gov/court-directory', 'title': ''}, {'link': 'http://www.uscfc.uscourts.gov/court-directory', 'title': 'Contact the Court of Federal Claims'}], 'phone_number': ['1-202-357-6400'], 'find_an_office_near_you': [{'link': 'http://www.uscfc.uscourts.gov/hours-directions', 'title': ''}, {'link': 'http://www.uscfc.uscourts.gov/hours-directions', 'title': 'Directions and Hours'}], 'main_address': ['717 Madison Place, NW', 'Washington,', 'DC', '20005-1806']}"
/US FEDERAL GOVERNMENT/[usagov] Court of Appeals for the Federal Circuit,[usagov] Court of Appeals for the Federal Circuit,"{'name': 'Court of Appeals for the Federal Circuit', 'description': 'With a national jurisdiction, the Court of Appeals for the Federal Circuit hears appeals on patent and certain civil cases from courts such as the U.S. Court of International Trade and the Court of Federal Claims, among others. The Court of Appeals for the Federal Circuit may also review the administrative rulings of the Patent and Trademark Office, the Secretary of Commerce and other agencies.', 'website': [{'link': 'http://www.cafc.uscourts.gov/', 'title': 'Court of Appeals for the Federal Circuit'}], 'contact': [{'link': 'http://www.uscourts.gov/court-locator', 'title': ''}, {'link': 'http://www.uscourts.gov/court-locator', 'title': 'Contact the Court of Appeals for the Federal Circuit'}], 'phone_number': ['1-202-275-8000'], 'find_an_office_near_you': [{'link': 'https://cafc.uscourts.gov/home/information-for/visiting-the-court/', 'title': ''}, {'link': 'https://cafc.uscourts.gov/home/information-for/visiting-the-court/', 'title': 'Directions to the\xa0Court of Appeals for the Federal Circuit'}], 'main_address': ['717 Madison Place', 'Washington,', 'DC', '20005']}"
/US FEDERAL GOVERNMENT/[usagov] Court of Appeals for the Armed Forces,[usagov] Court of Appeals for the Armed Forces,"{'name': 'Court of Appeals for the Armed Forces', 'description': 'The Court of Appeals for the Armed Forces is an appeals court with worldwide jurisdiction for anyone subject to the Uniform Code of Military Justice.', 'website': [{'link': 'https://www.armfor.uscourts.gov/newcaaf/home.htm', 'title': 'Court of Appeals for the Armed Forces'}], 'contact': [{'link': 'https://www.armfor.uscourts.gov/newcaaf/contact.htm', 'title': ''}, {'link': 'https://www.armfor.uscourts.gov/newcaaf/contact.htm', 'title': 'Contact the Court of Appeals for the Armed Forces'}], 'phone_number': ['1-202-761-1448'], 'main_address': ['450 E St., NW', 'Washington,', 'DC', '20441-0001']}"
/US FEDERAL GOVERNMENT/[usagov] Council on Environmental Quality,[usagov] Council on Environmental Quality,"{'name': 'Council on Environmental Quality', 'description': 'The Council on Environmental Quality coordinates federal environmental activities, and the development of environmental policy.', 'website': [{'link': 'https://www.whitehouse.gov/ceq/', 'title': 'Council on Environmental Quality'}], 'contact': [{'link': 'https://www.whitehouse.gov/contact/', 'title': ''}, {'link': 'https://www.whitehouse.gov/contact/', 'title': 'Contact the Council on Environmental Quality'}], 'phone_number': ['1-202-395-5750'], 'main_address': ['730 Jackson Place, NW', 'Washington,', 'DC', '20503']}"
/US FEDERAL GOVERNMENT/[usagov] Council of Economic Advisers,[usagov] Council of Economic Advisers,"{'name': 'Council of Economic Advisers', 'description': 'The Council of Economic Advisers gives the president advice on domestic and international economic policy.', 'website': [{'link': 'https://www.whitehouse.gov/cea', 'title': 'Council of Economic Advisers'}], 'contact': [{'link': 'https://www.whitehouse.gov/contact', 'title': ''}, {'link': 'https://www.whitehouse.gov/contact', 'title': 'Contact the Council of Economic Advisers'}], 'main_address': ['The White House', '1600 Pennsylvania Ave., NW', 'Washington,', 'DC', '20500']}"
/US FEDERAL GOVERNMENT/[usagov] Copyright Office,[usagov] Copyright Office,"{'name': 'Copyright Office', 'description': 'The Copyright Office administers the national copyright system and provides advice on copyright law to congress, federal agencies, the courts and the public.', 'website': [{'link': 'https://www.copyright.gov/', 'title': 'Copyright Office'}], 'contact': [{'link': 'https://www.copyright.gov/help/', 'title': ''}, {'link': 'https://www.copyright.gov/help/', 'title': 'Contact the Copyright Office Copyright Questions'}], 'phone_number': ['1-202-707-3000', '1-202-707-5959 (general questions)'], 'toll-free_number': ['1-877-476-0778'], 'main_address': ['U.S. Copyright Office', '101 Independence Ave., SE', 'Washington,', 'DC', '20559-6000']}"
/US FEDERAL GOVERNMENT/[usagov] Coordinating Council on Juvenile Justice and Delinquency Prevention,[usagov] Coordinating Council on Juvenile Justice and Delinquency Prevention,"{'name': 'Coordinating Council on Juvenile Justice and Delinquency Prevention', 'description': 'The Coordinating Council on Juvenile Justice and Delinquency Prevention coordinates, studies the effectiveness of, and makes recommendations on juvenile crime prevention activities.', 'website': [{'link': 'https://juvenilecouncil.ojp.gov/', 'title': 'Coordinating Council on Juvenile Justice and Delinquency Prevention'}], 'contact': [{'link': 'https://juvenilecouncil.ojp.gov/contact', 'title': ''}, {'link': 'https://juvenilecouncil.ojp.gov/contact', 'title': 'Contact the Coordinating Council on Juvenile Justice and Delinquency Prevention'}], 'phone_number': ['1-202-616-7567'], 'main_address': ['810 7th St., NW', 'Washington,', 'DC', '20531']}"
/US FEDERAL GOVERNMENT/[usagov] Consumer Product Safety Commission,[usagov] Consumer Product Safety Commission,"{'name': 'Consumer Product Safety Commission', 'description': 'The Consumer Product Safety Commission (CPSC) protects the public from unreasonable risks of serious injury or death from thousands of types of consumer products under its jurisdiction, including products that pose a fire, electrical, chemical, or mechanical hazard or can injure children.', 'website': [{'link': 'https://www.cpsc.gov/', 'title': 'Consumer Product Safety Commission'}, {'link': 'https://www.recalls.gov/', 'title': 'Government recalls'}, {'link': 'https://www.saferproducts.gov', 'title': 'Report incidents, injuries, or safety concerns'}, {'link': 'https://www.cpsc.gov/es/SeguridadConsumidor', 'title': 'In Spanish'}], 'contact': [{'link': 'https://www.cpsc.gov/About-CPSC/Contact-Information', 'title': 'Contact the Consumer Product Safety Commission'}, {'link': 'https://www.saferproducts.gov/IncidentReporting', 'title': 'Report an Unsafe Product'}], 'phone_number': ['1-301-504-7923'], 'toll-free_number': ['1-800-638-2772 (8:00 AM - 5:30 PM, ET)'], 'main_address': ['4330 East West Hwy.', 'Bethesda,', 'MD', '20814']}"
/US FEDERAL GOVERNMENT/[usagov] Congressional Research Service,[usagov] Congressional Research Service,"{'name': 'Congressional Research Service', 'description': 'The Congressional Research Service serves the Congress throughout the legislative process by providing comprehensive and reliable legislative research and analysis that are timely, objective, authoritative, and confidential, thereby contributing to an informed national legislature.', 'website': [{'link': 'https://www.loc.gov/crsinfo/about/', 'title': 'Congressional Research Service'}], 'contact': [{'link': 'https://www.loc.gov/crsinfo/contact/', 'title': ''}, {'link': 'https://www.loc.gov/crsinfo/contact/', 'title': 'Contact the Congressional Research Service'}], 'phone_number': ['1-202-707-5000'], 'main_address': ['101 Independence Ave., SE', 'Washington,', 'DC', '20540']}"
/US FEDERAL GOVERNMENT/[usagov] Congressional Office for International Leadership,[usagov] Congressional Office for International Leadership,"{'name': 'Congressional Office for International Leadership', 'description': 'The Congressional Office for International Leadership engages members of Congress and their constituents in congressional and citizen diplomacy with political and civic leaders from around the globe. COIL achieves this through the Open World program, a ten-day professional exchange dedicated to strengthening mutual understanding and sharing best practices in accountable governance, civil society, private sector, and the rule of law.', 'website': [{'link': 'https://www.openworld.gov/', 'title': 'Congressional Office for International Leadership'}], 'contact': [{'link': 'https://www.openworld.gov/content/contact-us-1', 'title': ''}, {'link': 'https://www.openworld.gov/content/contact-us-1', 'title': 'Contact the Congressional Office for International Leadership'}], 'phone_number': ['1-202-707-8943'], 'email': [{'link': 'mailto:openworld@coil.gov', 'title': ''}, {'link': 'mailto:openworld@coil.gov', 'title': ''}], 'main_address': ['101 Independence Ave., SE', 'John Adams Building, Room 144', 'Washington,', 'DC', '20540-9980']}"
/US FEDERAL GOVERNMENT/[usagov] Congressional Budget Office,[usagov] Congressional Budget Office,"{'name': 'Congressional Budget Office', 'description': 'The Congressional Budget Office produces independent, nonpartisan, analysis of economic and budgetary issues to support the Congressional budget process.', 'website': [{'link': 'https://www.cbo.gov/', 'title': 'Congressional Budget Office'}], 'contact': [{'link': 'https://www.cbo.gov/about/contact', 'title': ''}, {'link': 'https://www.cbo.gov/about/contact', 'title': 'Contact the Congressional Budget Office'}], 'phone_number': ['1-202-226-2602'], 'email': [{'link': 'mailto:communications@cbo.gov', 'title': ''}, {'link': 'mailto:communications@cbo.gov', 'title': ''}], 'main_address': ['Ford House Office Building, 4th Floor', 'Second and D Sts., SW', 'Washington,', 'DC', '20515-6925']}"
/US FEDERAL GOVERNMENT/[usagov] Computer Emergency Readiness Team,[usagov] Computer Emergency Readiness Team,"{'name': 'Computer Emergency Readiness Team', 'description': ""The Computer Emergency Readiness Team works to improve the nation's cybersecurity posture, coordinates cyber information sharing, and manages cyber risks to the nation."", 'website': [{'link': 'https://us-cert.cisa.gov/', 'title': 'Computer Emergency Readiness Team (US CERT)'}], 'contact': [{'link': 'https://us-cert.cisa.gov/contact-us', 'title': ''}, {'link': 'https://us-cert.cisa.gov/contact-us', 'title': 'Contact the Computer Emergency Readiness Team (US CERT)'}], 'phone_number': ['1-888-282-0870'], 'email': [{'link': 'mailto:info@us-cert.gov', 'title': ''}, {'link': 'mailto:info@us-cert.gov', 'title': ''}], 'main_address': ['Mailstop: 0635', '245 Murray Lane SW, Building 410', 'Washington,', 'DC', '20598']}"
